,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge
62,MiniOverlap_R2_res0.05.pgm,0,180,-179.99999994746932,0.0035570441046648767,3282,3282,3282,surf,4.910515546798706,True,0.0
63,FuulPath_res0.05.pgm,0,0,-0.0,0.0,4503,4503,4503,surf,5.790592432022095,True,0.0
64,FuulPath_res0.05.pgm,0,30,29.976836431492828,0.6920494986310829,4503,5130,1371,surf,4.799132823944092,True,0.2621441185474396
65,FuulPath_res0.05.pgm,0,60,60.0091573289583,0.6638607098820191,4503,5314,1361,surf,5.138618230819702,False,12.533760070800781
66,FuulPath_res0.05.pgm,0,90,90.00000004457486,0.001888203325635979,4503,4503,4503,surf,5.097944974899292,True,0.0
67,FuulPath_res0.05.pgm,0,120,119.98440806123988,0.6901831467819475,4503,5130,1370,surf,4.771249294281006,False,3.438251256942749
68,FuulPath_res0.05.pgm,0,150,149.92457880517415,0.6627124082064084,4503,5316,1359,surf,4.437440872192383,False,2.1890921592712402
69,FuulPath_res0.05.pgm,0,180,-179.9999998863901,0.003227949454511525,4503,4503,4502,surf,5.402960300445557,True,0.0
70,2RobotsFull_R1_res0.05.pgm,0,0,-0.0,0.0,501,501,501,orb,1.6282691955566406,True,0.0
71,2RobotsFull_R1_res0.05.pgm,0,30,29.997142202528583,20.364238410596027,501,500,302,orb,1.7979087829589844,True,0.0
72,2RobotsFull_R1_res0.05.pgm,0,60,60.00265653347062,19.954692556634303,501,500,309,orb,1.5695586204528809,True,0.6768491864204407
73,2RobotsFull_R1_res0.05.pgm,0,90,90.0123437833852,0.0,501,501,501,orb,1.7072224617004395,True,0.7795154452323914
74,2RobotsFull_R1_res0.05.pgm,0,120,119.96941663948643,20.30921052631579,501,500,304,orb,1.722440481185913,False,1.347561240196228
