,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,noise,scale,scale_recovered
74,MiniOverlap_R2_res0.05.pgm,4,0,-0.013998644959754579,1584.5389755011136,539,7011,449,sift,7.209458112716675,False,319.53631591796875,0.03,1,1.0001235137836066
75,MiniOverlap_R2_res0.05.pgm,0,0,0.013281765426817542,1733.5521739130436,539,13187,460,sift,7.661186695098877,False,362.7899475097656,0.04,1,1.0000555475546502
76,MiniOverlap_R2_res0.05.pgm,1,0,0.0010230130364616015,1734.60088691796,539,13703,451,sift,7.629462718963623,False,344.1734924316406,0.04,1,1.0001364612335326
77,MiniOverlap_R2_res0.05.pgm,2,0,-0.0037805159511341392,1672.3107221006564,539,13662,457,sift,7.679605722427368,False,355.95086669921875,0.04,1,1.0000223765322456
78,MiniOverlap_R2_res0.05.pgm,3,0,-5.3048847404828875e-05,1763.1294642857142,539,13180,448,sift,7.6887383460998535,False,356.45819091796875,0.04,1,1.0001294530885783
79,MiniOverlap_R2_res0.05.pgm,4,0,0.0009418451263086161,1727.2355555555555,539,13347,450,sift,7.7082624435424805,False,339.0231628417969,0.04,1,1.0002211913337193
80,FuulPath_res0.05.pgm,0,0,0.0017780531868994253,592.2311212814645,530,1005,437,sift,6.664806365966797,True,0.22458341717720032,0.01,1,1.0000226851716958
81,FuulPath_res0.05.pgm,1,0,0.0020196409244311393,506.79864253393663,530,976,442,sift,6.639622926712036,True,0.28072503209114075,0.01,1,0.9999513048298161
82,FuulPath_res0.05.pgm,2,0,-0.0002704805581493557,657.1467889908257,530,969,436,sift,6.682370901107788,True,0.2725123465061188,0.01,1,0.9999986049433917
83,FuulPath_res0.05.pgm,3,0,0.0008065779691939886,564.6889400921659,530,954,434,sift,6.7906763553619385,True,0.21259477734565735,0.01,1,0.9998786043038846
84,FuulPath_res0.05.pgm,4,0,-0.0011283821000661084,581.4779582366589,530,1003,431,sift,6.724706411361694,True,0.29103368520736694,0.01,1,0.9999956227016433
85,FuulPath_res0.05.pgm,0,0,0.0002462732728723828,1013.279176201373,530,2971,437,sift,6.852589845657349,False,47.051368713378906,0.02,1,0.9999471682317912
86,FuulPath_res0.05.pgm,1,0,0.01065017342354035,964.9351851851852,530,2827,432,sift,6.878465175628662,False,147.0970916748047,0.02,1,0.999908763432061
87,FuulPath_res0.05.pgm,2,0,0.004357003255205327,981.5160550458716,530,2844,436,sift,6.916647672653198,False,158.57427978515625,0.02,1,1.0001299702937323
88,FuulPath_res0.05.pgm,3,0,0.003283938912600458,1011.5023148148148,530,3007,432,sift,6.881945371627808,False,144.36590576171875,0.02,1,1.0000190266197397
89,FuulPath_res0.05.pgm,4,0,0.003519340944126516,982.5186046511628,530,2941,430,sift,6.956022024154663,False,53.28034210205078,0.02,1,1.0000876559721559
90,FuulPath_res0.05.pgm,0,0,0.003344722027245674,1312.591111111111,530,7100,450,sift,7.276471853256226,False,340.750732421875,0.03,1,1.0001284205012164
91,FuulPath_res0.05.pgm,1,0,0.014842765068543885,1272.4031890660592,530,7172,439,sift,7.334717750549316,False,330.84613037109375,0.03,1,1.0001155179362453
92,FuulPath_res0.05.pgm,2,0,0.0020960472819767702,1248.4680365296804,530,7096,438,sift,7.219185829162598,False,288.5057067871094,0.03,1,0.999812407057454
93,FuulPath_res0.05.pgm,3,0,-0.012314912054635216,1284.3433179723502,530,6879,434,sift,7.191208124160767,False,341.2295227050781,0.03,1,1.0000554654113096
94,FuulPath_res0.05.pgm,4,0,-0.006579803819273427,1155.9287356321838,530,7038,435,sift,7.148014783859253,False,194.01068115234375,0.03,1,1.0001039726101024
95,FuulPath_res0.05.pgm,0,0,-0.0007265796109312127,1459.2866817155757,530,13749,443,sift,8.575809001922607,False,325.4765319824219,0.04,1,0.9998826892849361
96,FuulPath_res0.05.pgm,1,0,0.002637292552040992,1466.3472222222222,530,13373,432,sift,7.767607688903809,False,390.0005798339844,0.04,1,0.9998560193200673
97,FuulPath_res0.05.pgm,2,0,0.012357258662742496,1423.2259507829979,530,13161,447,sift,7.8416218757629395,False,404.4564514160156,0.04,1,1.0001194781590774
98,FuulPath_res0.05.pgm,3,0,-0.004797198520576847,1491.9634703196348,530,13421,438,sift,7.731404542922974,False,423.56884765625,0.04,1,1.000028059262517
