,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,x_recovered,y_recovered,x_delta_origin,y_delta_origin
306,2RobotsFull_R2_res0.05.pgm,1,0,0.00017031317225987496,0.0022079535738915084,3786,3788,3770,surf,6.459471940994263,True,0.0,99.99795935547824,100.0047590146328,100,100
307,2RobotsFull_R2_res0.05.pgm,2,0,0.00017031317225987496,0.0022079535738915084,3786,3788,3770,surf,6.340828895568848,True,0.0,99.99795935547824,100.0047590146328,100,100
308,2RobotsFull_R2_res0.05.pgm,3,0,0.00017031317225987496,0.0022079535738915084,3786,3788,3770,surf,6.3554418087005615,True,0.0,99.99795935547824,100.0047590146328,100,100
309,2RobotsFull_R2_res0.05.pgm,4,0,0.00017031317225987496,0.0022079535738915084,3786,3788,3770,surf,6.349160432815552,True,0.0,99.99795935547824,100.0047590146328,100,100
310,2RobotsFull_R2_res0.05.pgm,0,0,-2.297426665159498e-09,0.0013702726195256893,3786,3790,3786,surf,6.387081623077393,True,0.0,200.00000112922928,200.00000129218185,200,200
311,2RobotsFull_R2_res0.05.pgm,1,0,-2.297426665159498e-09,0.0013702726195256893,3786,3790,3786,surf,6.377657175064087,True,0.0,200.00000112922928,200.00000129218185,200,200
312,2RobotsFull_R2_res0.05.pgm,2,0,-2.297426665159498e-09,0.0013702726195256893,3786,3790,3786,surf,6.608129024505615,True,0.0,200.00000112922928,200.00000129218185,200,200
313,2RobotsFull_R2_res0.05.pgm,3,0,-2.297426665159498e-09,0.0013702726195256893,3786,3790,3786,surf,6.115012884140015,True,0.0,200.00000112922928,200.00000129218185,200,200
314,2RobotsFull_R2_res0.05.pgm,4,0,-2.297426665159498e-09,0.0013702726195256893,3786,3790,3786,surf,7.574745416641235,True,0.0,200.00000112922928,200.00000129218185,200,200
315,2RobotsFull_R2_res0.05.pgm,0,0,0.00017032750702984686,0.003242099380539205,3786,3788,3770,surf,6.577906131744385,True,0.0,299.99795985174336,300.00476018847706,300,300
316,2RobotsFull_R2_res0.05.pgm,1,0,0.00017032750702984686,0.003242099380539205,3786,3788,3770,surf,5.959935426712036,True,0.0,299.99795985174336,300.00476018847706,300,300
317,2RobotsFull_R2_res0.05.pgm,2,0,0.00017032750702984686,0.003242099380539205,3786,3788,3770,surf,6.112268924713135,True,0.0,299.99795985174336,300.00476018847706,300,300
318,2RobotsFull_R2_res0.05.pgm,3,0,0.00017032750702984686,0.003242099380539205,3786,3788,3770,surf,6.080191135406494,True,0.0,299.99795985174336,300.00476018847706,300,300
319,2RobotsFull_R2_res0.05.pgm,4,0,0.00017032750702984686,0.003242099380539205,3786,3788,3770,surf,6.063271760940552,True,0.0,299.99795985174336,300.00476018847706,300,300
320,2RobotsFull_R2_res0.05.pgm,0,0,-4.880874366967331e-08,0.0025941045610493748,3786,3790,3786,surf,6.210301876068115,True,0.0,400.00000191824427,400.00000023022403,400,400
321,2RobotsFull_R2_res0.05.pgm,1,0,-4.880874366967331e-08,0.0025941045610493748,3786,3790,3786,surf,5.9829912185668945,True,0.0,400.00000191824427,400.00000023022403,400,400
322,2RobotsFull_R2_res0.05.pgm,2,0,-4.880874366967331e-08,0.0025941045610493748,3786,3790,3786,surf,6.01947021484375,True,0.0,400.00000191824427,400.00000023022403,400,400
323,2RobotsFull_R2_res0.05.pgm,3,0,-4.880874366967331e-08,0.0025941045610493748,3786,3790,3786,surf,6.113051652908325,True,0.0,400.00000191824427,400.00000023022403,400,400
324,2RobotsFull_R2_res0.05.pgm,4,0,-4.880874366967331e-08,0.0025941045610493748,3786,3790,3786,surf,6.048385858535767,True,0.0,400.00000191824427,400.00000023022403,400,400
325,2RobotsFull_R2_res0.05.pgm,0,0,0.0001702715937686155,0.004475368936761241,3786,3788,3770,surf,6.623730659484863,True,0.0,499.99795983421353,500.00475866067495,500,500
326,2RobotsFull_R2_res0.05.pgm,1,0,0.0001702715937686155,0.004475368936761241,3786,3788,3770,surf,6.0846898555755615,True,0.0,499.99795983421353,500.00475866067495,500,500
327,2RobotsFull_R2_res0.05.pgm,2,0,0.0001702715937686155,0.004475368936761241,3786,3788,3770,surf,6.0885961055755615,True,0.0,499.99795983421353,500.00475866067495,500,500
328,2RobotsFull_R2_res0.05.pgm,3,0,0.0001702715937686155,0.004475368936761241,3786,3788,3770,surf,5.978285074234009,True,0.0,499.99795983421353,500.00475866067495,500,500
329,2RobotsFull_R2_res0.05.pgm,4,0,0.0001702715937686155,0.004475368936761241,3786,3788,3770,surf,6.102990627288818,True,0.0,499.99795983421353,500.00475866067495,500,500
330,2RobotsFull_R2_res0.05.pgm,0,0,-3.761718631423347e-08,0.0037748331544700943,3786,3790,3786,surf,6.094392776489258,True,0.0,599.9999981553738,599.9999996695234,600,600
331,2RobotsFull_R2_res0.05.pgm,1,0,-3.761718631423347e-08,0.0037748331544700943,3786,3790,3786,surf,6.074820280075073,True,0.0,599.9999981553738,599.9999996695234,600,600
332,2RobotsFull_R2_res0.05.pgm,2,0,-3.761718631423347e-08,0.0037748331544700943,3786,3790,3786,surf,6.139382600784302,True,0.0,599.9999981553738,599.9999996695234,600,600
333,2RobotsFull_R2_res0.05.pgm,3,0,-3.761718631423347e-08,0.0037748331544700943,3786,3790,3786,surf,5.960721731185913,True,0.0,599.9999981553738,599.9999996695234,600,600
334,2RobotsFull_R2_res0.05.pgm,4,0,-3.761718631423347e-08,0.0037748331544700943,3786,3790,3786,surf,6.0481719970703125,True,0.0,599.9999981553738,599.9999996695234,600,600
335,2RobotsFull_R2_res0.05.pgm,0,0,0.00017031171479948138,0.005636951241729124,3786,3788,3770,surf,6.463993549346924,True,0.0,699.9979564803347,700.0047587902023,700,700
336,2RobotsFull_R2_res0.05.pgm,1,0,0.00017031171479948138,0.005636951241729124,3786,3788,3770,surf,6.2605085372924805,True,0.0,699.9979564803347,700.0047587902023,700,700
337,2RobotsFull_R2_res0.05.pgm,2,0,0.00017031171479948138,0.005636951241729124,3786,3788,3770,surf,6.214526891708374,True,0.0,699.9979564803347,700.0047587902023,700,700
338,2RobotsFull_R2_res0.05.pgm,3,0,0.00017031171479948138,0.005636951241729124,3786,3788,3770,surf,6.3852927684783936,True,0.0,699.9979564803347,700.0047587902023,700,700
339,2RobotsFull_R2_res0.05.pgm,4,0,0.00017031171479948138,0.005636951241729124,3786,3788,3770,surf,6.292170286178589,True,0.0,699.9979564803347,700.0047587902023,700,700
340,2RobotsFull_R2_res0.05.pgm,0,0,1.1878320501754895e-09,0.004619301161087539,3786,3790,3785,surf,6.205440282821655,True,0.0,799.9999983487403,800.0000005912001,800,800
341,2RobotsFull_R2_res0.05.pgm,1,0,1.1878320501754895e-09,0.004619301161087539,3786,3790,3785,surf,6.131460189819336,True,0.0,799.9999983487403,800.0000005912001,800,800
342,2RobotsFull_R2_res0.05.pgm,2,0,1.1878320501754895e-09,0.004619301161087539,3786,3790,3785,surf,6.68810510635376,True,0.0,799.9999983487403,800.0000005912001,800,800
343,2RobotsFull_R2_res0.05.pgm,3,0,1.1878320501754895e-09,0.004619301161087539,3786,3790,3785,surf,6.954439878463745,True,0.0,799.9999983487403,800.0000005912001,800,800
344,2RobotsFull_R2_res0.05.pgm,4,0,1.1878320501754895e-09,0.004619301161087539,3786,3790,3785,surf,6.772814035415649,True,0.0,799.9999983487403,800.0000005912001,800,800
345,2RobotsFull_R2_res0.05.pgm,0,0,0.00017046072759703063,0.00604473025025857,3786,3788,3769,surf,6.672883033752441,True,0.0,899.9979545116049,900.0047628689903,900,900
346,2RobotsFull_R2_res0.05.pgm,1,0,0.00017046072759703063,0.00604473025025857,3786,3788,3769,surf,7.130404472351074,True,0.0,899.9979545116049,900.0047628689903,900,900
347,2RobotsFull_R2_res0.05.pgm,2,0,0.00017046072759703063,0.00604473025025857,3786,3788,3769,surf,6.721968650817871,True,0.0,899.9979545116049,900.0047628689903,900,900
348,2RobotsFull_R2_res0.05.pgm,3,0,0.00017046072759703063,0.00604473025025857,3786,3788,3769,surf,8.075313091278076,True,0.0,899.9979545116049,900.0047628689903,900,900
349,2RobotsFull_R2_res0.05.pgm,4,0,0.00017046072759703063,0.00604473025025857,3786,3788,3769,surf,7.608636379241943,True,0.0,899.9979545116049,900.0047628689903,900,900
350,MiniOverlap_R1_res0.05.pgm,0,0,-0.0,0.0,4224,4224,4224,surf,5.0654942989349365,True,0.0,0.0,0.0,0,0
351,MiniOverlap_R1_res0.05.pgm,1,0,-0.0,0.0,4224,4224,4224,surf,4.548782110214233,True,0.0,0.0,0.0,0,0
352,MiniOverlap_R1_res0.05.pgm,2,0,-0.0,0.0,4224,4224,4224,surf,4.4753570556640625,True,0.0,0.0,0.0,0,0
353,MiniOverlap_R1_res0.05.pgm,3,0,-0.0,0.0,4224,4224,4224,surf,5.04375433921814,True,0.0,0.0,0.0,0,0
354,MiniOverlap_R1_res0.05.pgm,4,0,-0.0,0.0,4224,4224,4224,surf,4.852810859680176,True,0.0,0.0,0.0,0,0
355,MiniOverlap_R1_res0.05.pgm,0,0,-0.000272653753403889,0.008438224951996861,4224,3785,3653,surf,4.502102851867676,True,0.0,99.99842692920714,99.98831145251458,100,100
356,MiniOverlap_R1_res0.05.pgm,1,0,-0.000272653753403889,0.008438224951996861,4224,3785,3653,surf,4.628916263580322,True,0.0,99.99842692920714,99.98831145251458,100,100
357,MiniOverlap_R1_res0.05.pgm,2,0,-0.000272653753403889,0.008438224951996861,4224,3785,3653,surf,4.791917324066162,True,0.0,99.99842692920714,99.98831145251458,100,100
358,MiniOverlap_R1_res0.05.pgm,3,0,-0.000272653753403889,0.008438224951996861,4224,3785,3653,surf,4.559443473815918,True,0.0,99.99842692920714,99.98831145251458,100,100
359,MiniOverlap_R1_res0.05.pgm,4,0,-0.000272653753403889,0.008438224951996861,4224,3785,3653,surf,4.728107452392578,True,0.0,99.99842692920714,99.98831145251458,100,100
360,MiniOverlap_R1_res0.05.pgm,0,0,-8.257659061521548e-08,0.002455224401118343,4224,3320,3219,surf,4.74171257019043,True,0.0,200.00000362281827,199.99999969849702,200,200
361,MiniOverlap_R1_res0.05.pgm,1,0,-8.257659061521548e-08,0.002455224401118343,4224,3320,3219,surf,4.267339468002319,True,0.0,200.00000362281827,199.99999969849702,200,200
362,MiniOverlap_R1_res0.05.pgm,2,0,-8.257659061521548e-08,0.002455224401118343,4224,3320,3219,surf,4.674354314804077,True,0.0,200.00000362281827,199.99999969849702,200,200
363,MiniOverlap_R1_res0.05.pgm,3,0,-8.257659061521548e-08,0.002455224401118343,4224,3320,3219,surf,4.136522531509399,True,0.0,200.00000362281827,199.99999969849702,200,200
364,MiniOverlap_R1_res0.05.pgm,4,0,-8.257659061521548e-08,0.002455224401118343,4224,3320,3219,surf,4.1166276931762695,True,0.0,200.00000362281827,199.99999969849702,200,200
365,MiniOverlap_R1_res0.05.pgm,0,0,-0.00014559771010112406,0.01000845920907632,4224,2615,2497,surf,4.702107906341553,True,0.0,299.9841562950833,299.98015270369825,300,300
366,MiniOverlap_R1_res0.05.pgm,1,0,-0.00014559771010112406,0.01000845920907632,4224,2615,2497,surf,4.330284833908081,True,0.0,299.9841562950833,299.98015270369825,300,300
367,MiniOverlap_R1_res0.05.pgm,2,0,-0.00014559771010112406,0.01000845920907632,4224,2615,2497,surf,4.397249698638916,True,0.0,299.9841562950833,299.98015270369825,300,300
368,MiniOverlap_R1_res0.05.pgm,3,0,-0.00014559771010112406,0.01000845920907632,4224,2615,2497,surf,3.951512575149536,True,0.0,299.9841562950833,299.98015270369825,300,300
369,MiniOverlap_R1_res0.05.pgm,4,0,-0.00014559771010112406,0.01000845920907632,4224,2615,2497,surf,3.7607576847076416,True,0.0,299.9841562950833,299.98015270369825,300,300
370,MiniOverlap_R1_res0.05.pgm,0,0,-3.115674237239987e-07,0.005567959319168165,4224,2057,1959,surf,3.4746570587158203,True,0.0,400.0000073736923,399.9999944151987,400,400
371,MiniOverlap_R1_res0.05.pgm,1,0,-3.115674237239987e-07,0.005567959319168165,4224,2057,1959,surf,3.4524741172790527,True,0.0,400.0000073736923,399.9999944151987,400,400
372,MiniOverlap_R1_res0.05.pgm,2,0,-3.115674237239987e-07,0.005567959319168165,4224,2057,1959,surf,3.735727071762085,True,0.0,400.0000073736923,399.9999944151987,400,400
373,MiniOverlap_R1_res0.05.pgm,3,0,-3.115674237239987e-07,0.005567959319168165,4224,2057,1959,surf,3.833014488220215,True,0.0,400.0000073736923,399.9999944151987,400,400
374,MiniOverlap_R1_res0.05.pgm,4,0,-3.115674237239987e-07,0.005567959319168165,4224,2057,1959,surf,3.352952718734741,True,0.0,400.0000073736923,399.9999944151987,400,400
375,MiniOverlap_R1_res0.05.pgm,0,0,0.000454219446394074,0.013427754529513574,4224,1585,1471,surf,3.260446310043335,True,0.0,499.9762678654792,499.9956538049496,500,500
376,MiniOverlap_R1_res0.05.pgm,1,0,0.000454219446394074,0.013427754529513574,4224,1585,1471,surf,3.1665356159210205,True,0.0,499.9762678654792,499.9956538049496,500,500
377,MiniOverlap_R1_res0.05.pgm,2,0,0.000454219446394074,0.013427754529513574,4224,1585,1471,surf,3.8772616386413574,True,0.0,499.9762678654792,499.9956538049496,500,500
378,MiniOverlap_R1_res0.05.pgm,3,0,0.000454219446394074,0.013427754529513574,4224,1585,1471,surf,5.340222120285034,True,0.0,499.9762678654792,499.9956538049496,500,500
379,MiniOverlap_R1_res0.05.pgm,4,0,0.000454219446394074,0.013427754529513574,4224,1585,1471,surf,4.7146337032318115,True,0.0,499.9762678654792,499.9956538049496,500,500
380,MiniOverlap_R1_res0.05.pgm,0,0,-3.0175458290547066e-07,0.0064101601760579744,4224,1234,1136,surf,4.63784122467041,True,0.0,600.0000046188075,599.9999922670438,600,600
381,MiniOverlap_R1_res0.05.pgm,1,0,-3.0175458290547066e-07,0.0064101601760579744,4224,1234,1136,surf,3.3055412769317627,True,0.0,600.0000046188075,599.9999922670438,600,600
382,MiniOverlap_R1_res0.05.pgm,2,0,-3.0175458290547066e-07,0.0064101601760579744,4224,1234,1136,surf,3.2729594707489014,True,0.0,600.0000046188075,599.9999922670438,600,600
383,MiniOverlap_R1_res0.05.pgm,3,0,-3.0175458290547066e-07,0.0064101601760579744,4224,1234,1136,surf,3.177896499633789,True,0.0,600.0000046188075,599.9999922670438,600,600
384,MiniOverlap_R1_res0.05.pgm,4,0,-3.0175458290547066e-07,0.0064101601760579744,4224,1234,1136,surf,3.076287031173706,True,0.0,600.0000046188075,599.9999922670438,600,600
385,MiniOverlap_R1_res0.05.pgm,0,0,3.17404192449346e-05,0.0178347996174002,4224,926,828,surf,2.998750925064087,True,0.0,699.9770062969374,699.9829024870102,700,700
386,MiniOverlap_R1_res0.05.pgm,1,0,3.17404192449346e-05,0.0178347996174002,4224,926,828,surf,2.9230380058288574,True,0.0,699.9770062969374,699.9829024870102,700,700
387,MiniOverlap_R1_res0.05.pgm,2,0,3.17404192449346e-05,0.0178347996174002,4224,926,828,surf,2.9268579483032227,True,0.0,699.9770062969374,699.9829024870102,700,700
388,MiniOverlap_R1_res0.05.pgm,3,0,3.17404192449346e-05,0.0178347996174002,4224,926,828,surf,2.95700740814209,True,0.0,699.9770062969374,699.9829024870102,700,700
389,MiniOverlap_R1_res0.05.pgm,4,0,3.17404192449346e-05,0.0178347996174002,4224,926,828,surf,2.967543840408325,True,0.0,699.9770062969374,699.9829024870102,700,700
390,MiniOverlap_R1_res0.05.pgm,0,0,-2.6036790931350667e-07,0.017702558638467796,4224,537,440,surf,2.7813310623168945,True,0.0,800.0000062541292,799.999994392236,800,800
391,MiniOverlap_R1_res0.05.pgm,1,0,-2.6036790931350667e-07,0.017702558638467796,4224,537,440,surf,2.7888872623443604,True,0.0,800.0000062541292,799.999994392236,800,800
392,MiniOverlap_R1_res0.05.pgm,2,0,-2.6036790931350667e-07,0.017702558638467796,4224,537,440,surf,2.833178758621216,True,0.0,800.0000062541292,799.999994392236,800,800
393,MiniOverlap_R1_res0.05.pgm,3,0,-2.6036790931350667e-07,0.017702558638467796,4224,537,440,surf,2.7480928897857666,True,0.0,800.0000062541292,799.999994392236,800,800
394,MiniOverlap_R1_res0.05.pgm,4,0,-2.6036790931350667e-07,0.017702558638467796,4224,537,440,surf,2.892791986465454,True,0.0,800.0000062541292,799.999994392236,800,800
395,MiniOverlap_R1_res0.05.pgm,0,0,-0.00025328212687068927,0.01687644668395544,4224,369,276,surf,2.6852357387542725,True,0.0,899.9964639887013,899.996845904489,900,900
396,MiniOverlap_R1_res0.05.pgm,1,0,-0.00025328212687068927,0.01687644668395544,4224,369,276,surf,2.715001344680786,True,0.0,899.9964639887013,899.996845904489,900,900
397,MiniOverlap_R1_res0.05.pgm,2,0,-0.00025328212687068927,0.01687644668395544,4224,369,276,surf,2.7962327003479004,True,0.0,899.9964639887013,899.996845904489,900,900
398,MiniOverlap_R1_res0.05.pgm,3,0,-0.00025328212687068927,0.01687644668395544,4224,369,276,surf,2.723938465118408,True,0.0,899.9964639887013,899.996845904489,900,900
399,MiniOverlap_R1_res0.05.pgm,4,0,-0.00025328212687068927,0.01687644668395544,4224,369,276,surf,2.670311689376831,True,0.0,899.9964639887013,899.996845904489,900,900
400,MiniOverlap_R2_res0.05.pgm,0,0,-0.0,0.0,3282,3282,3282,surf,3.748154878616333,True,0.0,0.0,0.0,0,0
401,MiniOverlap_R2_res0.05.pgm,1,0,-0.0,0.0,3282,3282,3282,surf,3.7555253505706787,True,0.0,0.0,0.0,0,0
402,MiniOverlap_R2_res0.05.pgm,2,0,-0.0,0.0,3282,3282,3282,surf,3.7525291442871094,True,0.0,0.0,0.0,0,0
403,MiniOverlap_R2_res0.05.pgm,3,0,-0.0,0.0,3282,3282,3282,surf,3.6883857250213623,True,0.0,0.0,0.0,0,0
404,MiniOverlap_R2_res0.05.pgm,4,0,-0.0,0.0,3282,3282,3282,surf,3.714928388595581,True,0.0,0.0,0.0,0,0
405,MiniOverlap_R2_res0.05.pgm,0,0,-0.00010505621505385591,0.008447859838457215,3282,3041,3006,surf,3.5578529834747314,True,0.0,100.00721284951614,100.00308478387855,100,100
406,MiniOverlap_R2_res0.05.pgm,1,0,-0.00010505621505385591,0.008447859838457215,3282,3041,3006,surf,3.830826997756958,True,0.0,100.00721284951614,100.00308478387855,100,100
407,MiniOverlap_R2_res0.05.pgm,2,0,-0.00010505621505385591,0.008447859838457215,3282,3041,3006,surf,3.5706169605255127,True,0.0,100.00721284951614,100.00308478387855,100,100
408,MiniOverlap_R2_res0.05.pgm,3,0,-0.00010505621505385591,0.008447859838457215,3282,3041,3006,surf,3.4545209407806396,True,0.0,100.00721284951614,100.00308478387855,100,100
409,MiniOverlap_R2_res0.05.pgm,4,0,-0.00010505621505385591,0.008447859838457215,3282,3041,3006,surf,3.435429573059082,True,0.0,100.00721284951614,100.00308478387855,100,100
410,MiniOverlap_R2_res0.05.pgm,0,0,1.0435874853565326e-07,0.0029675124705652637,3282,2579,2569,surf,3.1998989582061768,True,0.0,199.99999624975183,199.99999870104924,200,200
411,MiniOverlap_R2_res0.05.pgm,1,0,1.0435874853565326e-07,0.0029675124705652637,3282,2579,2569,surf,3.3460633754730225,True,0.0,199.99999624975183,199.99999870104924,200,200
412,MiniOverlap_R2_res0.05.pgm,2,0,1.0435874853565326e-07,0.0029675124705652637,3282,2579,2569,surf,3.960958242416382,True,0.0,199.99999624975183,199.99999870104924,200,200
413,MiniOverlap_R2_res0.05.pgm,3,0,1.0435874853565326e-07,0.0029675124705652637,3282,2579,2569,surf,3.3495471477508545,True,0.0,199.99999624975183,199.99999870104924,200,200
414,MiniOverlap_R2_res0.05.pgm,4,0,1.0435874853565326e-07,0.0029675124705652637,3282,2579,2569,surf,3.5857133865356445,True,0.0,199.99999624975183,199.99999870104924,200,200
415,MiniOverlap_R2_res0.05.pgm,0,0,-0.00013701697974503722,0.011734086743599057,3282,2356,2332,surf,3.3971004486083984,True,0.0,300.01346406391394,300.00902049857064,300,300
416,MiniOverlap_R2_res0.05.pgm,1,0,-0.00013701697974503722,0.011734086743599057,3282,2356,2332,surf,3.3668293952941895,True,0.0,300.01346406391394,300.00902049857064,300,300
417,MiniOverlap_R2_res0.05.pgm,2,0,-0.00013701697974503722,0.011734086743599057,3282,2356,2332,surf,3.527592897415161,True,0.0,300.01346406391394,300.00902049857064,300,300
418,MiniOverlap_R2_res0.05.pgm,3,0,-0.00013701697974503722,0.011734086743599057,3282,2356,2332,surf,3.3442089557647705,True,0.0,300.01346406391394,300.00902049857064,300,300
419,MiniOverlap_R2_res0.05.pgm,4,0,-0.00013701697974503722,0.011734086743599057,3282,2356,2332,surf,3.349689483642578,True,0.0,300.01346406391394,300.00902049857064,300,300
420,MiniOverlap_R2_res0.05.pgm,0,0,3.906999164641955e-08,0.0017581518806445043,3282,2243,2232,surf,3.2300643920898438,True,0.0,399.99999838800824,399.9999980232629,400,400
421,MiniOverlap_R2_res0.05.pgm,1,0,3.906999164641955e-08,0.0017581518806445043,3282,2243,2232,surf,3.2411720752716064,True,0.0,399.99999838800824,399.9999980232629,400,400
422,MiniOverlap_R2_res0.05.pgm,2,0,3.906999164641955e-08,0.0017581518806445043,3282,2243,2232,surf,3.2359986305236816,True,0.0,399.99999838800824,399.9999980232629,400,400
423,MiniOverlap_R2_res0.05.pgm,3,0,3.906999164641955e-08,0.0017581518806445043,3282,2243,2232,surf,3.2145986557006836,True,0.0,399.99999838800824,399.9999980232629,400,400
424,MiniOverlap_R2_res0.05.pgm,4,0,3.906999164641955e-08,0.0017581518806445043,3282,2243,2232,surf,3.213526964187622,True,0.0,399.99999838800824,399.9999980232629,400,400
425,MiniOverlap_R2_res0.05.pgm,0,0,-1.006056036820051e-05,0.013460725854217963,3282,2056,2036,surf,3.125889778137207,True,0.0,500.0169245360374,500.01757294133444,500,500
426,MiniOverlap_R2_res0.05.pgm,1,0,-1.006056036820051e-05,0.013460725854217963,3282,2056,2036,surf,3.152855396270752,True,0.0,500.0169245360374,500.01757294133444,500,500
427,MiniOverlap_R2_res0.05.pgm,2,0,-1.006056036820051e-05,0.013460725854217963,3282,2056,2036,surf,3.189530611038208,True,0.0,500.0169245360374,500.01757294133444,500,500
428,MiniOverlap_R2_res0.05.pgm,3,0,-1.006056036820051e-05,0.013460725854217963,3282,2056,2036,surf,3.1646082401275635,True,0.0,500.0169245360374,500.01757294133444,500,500
429,MiniOverlap_R2_res0.05.pgm,4,0,-1.006056036820051e-05,0.013460725854217963,3282,2056,2036,surf,3.1582839488983154,True,0.0,500.0169245360374,500.01757294133444,500,500
