,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,scale,scale_recovered
104,2RobotsFull_R1_res0.05.pgm,4,0,0.07267702082632937,0.6576407355372258,4291,303,217,surf,1.7023804187774658,False,20.986675262451172,0.2,0.19977523423682458
105,2RobotsFull_R1_res0.05.pgm,0,0,0.022403013073585262,0.6239535043510004,4291,905,626,surf,2.2715811729431152,False,1.4391106367111206,0.4,0.3995640412475918
106,2RobotsFull_R1_res0.05.pgm,1,0,0.022403013073585262,0.6239535043510004,4291,905,626,surf,2.295620918273926,False,1.4391106367111206,0.4,0.3995640412475918
107,2RobotsFull_R1_res0.05.pgm,2,0,0.022403013073585262,0.6239535043510004,4291,905,626,surf,2.313495635986328,False,1.4391106367111206,0.4,0.3995640412475918
108,2RobotsFull_R1_res0.05.pgm,3,0,0.022403013073585262,0.6239535043510004,4291,905,626,surf,2.3529326915740967,False,1.4391106367111206,0.4,0.3995640412475918
109,2RobotsFull_R1_res0.05.pgm,4,0,0.022403013073585262,0.6239535043510004,4291,905,626,surf,2.2205283641815186,False,1.4391106367111206,0.4,0.3995640412475918
110,2RobotsFull_R1_res0.05.pgm,0,0,-0.003553312648878764,0.5771248238698662,4291,1636,1161,surf,3.3524866104125977,True,0.440105140209198,0.6,0.5998874375193591
111,2RobotsFull_R1_res0.05.pgm,1,0,-0.003553312648878764,0.5771248238698662,4291,1636,1161,surf,3.233870267868042,True,0.440105140209198,0.6,0.5998874375193591
112,2RobotsFull_R1_res0.05.pgm,2,0,-0.003553312648878764,0.5771248238698662,4291,1636,1161,surf,3.2924625873565674,True,0.440105140209198,0.6,0.5998874375193591
113,2RobotsFull_R1_res0.05.pgm,3,0,-0.003553312648878764,0.5771248238698662,4291,1636,1161,surf,3.2454869747161865,True,0.440105140209198,0.6,0.5998874375193591
114,2RobotsFull_R1_res0.05.pgm,4,0,-0.003553312648878764,0.5771248238698662,4291,1636,1161,surf,3.267321825027466,True,0.440105140209198,0.6,0.5998874375193591
115,2RobotsFull_R1_res0.05.pgm,0,0,0.015604455916916603,0.5341501163627224,4291,2457,1733,surf,4.564709663391113,True,0.22414182126522064,0.8,0.8000826090484119
