,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
277,Block_R1_res0.05.pgm_Block_R2_res0.05.pgm,9,25,-15.36543075248962,1507.0555555555557,256,325,162,sift,6.09863805770874,False,394.4608154296875,0.5813953488372093,0.9973305607220129
278,Block_R1_res0.05.pgm_SouthWing_res0.05.pgm,9,26,-1.3358445232194525,1511.2789115646258,256,366,147,sift,3.1445906162261963,False,383.7781066894531,0.0,0.11009648307391853
279,Block_R2_res0.05.pgm_SouthWing_res0.05.pgm,9,27,102.59136493523134,1598.3275862068965,325,366,174,sift,4.2057530879974365,False,235.03546142578125,4.545454545454546,0.053165684881676334
280,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,10,0,41.44762936418225,1406.9669421487604,528,492,242,sift,7.157858848571777,False,519.8129272460938,0.847457627118644,0.9966729805857915
281,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,10,1,-6.091720295018264,1467.1829268292684,492,505,246,sift,4.4291558265686035,False,460.3609924316406,0.0,0.996654047942165
282,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,10,2,-1.96297554048649,1473.0152671755725,492,539,262,sift,4.4600746631622314,False,486.5670471191406,0.0,0.997946029568526
283,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,10,3,-4.368434740946035,1396.7543859649122,492,530,228,sift,4.445148229598999,False,497.101318359375,0.0,1.0023386320339251
284,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,10,4,-8.43342261593768,1486.0,256,492,183,sift,6.124674558639526,False,536.0327758789062,0.0,1.0045926011087067
285,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,10,5,-6.477355547233131,1451.2421052631578,492,325,190,sift,7.0651044845581055,False,501.830322265625,0.0,0.9967998348749746
286,SouthWing_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,10,6,-89.05252057589854,1374.9452736318408,366,492,201,sift,6.214383602142334,False,740.6626586914062,0.0,0.9985483621712554
287,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,10,7,35.94817684862319,1368.9961240310076,528,505,258,sift,4.409206867218018,False,379.4921569824219,1.1111111111111112,0.9961751775828994
288,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,10,8,38.662885515552524,1472.2972972972973,528,539,259,sift,4.403227090835571,False,553.4249267578125,0.0,0.9895732737570805
289,2RobotsFull_R2_res0.05.pgm_FuulPath_res0.05.pgm,10,9,37.28187340225412,1275.2517985611512,528,530,278,sift,4.429155111312866,False,454.03021240234375,0.0,1.0034290441208922
290,Block_R1_res0.05.pgm_2RobotsFull_R2_res0.05.pgm,10,10,-50.19421831384359,1362.7423312883436,256,528,163,sift,6.1056718826293945,False,445.5018310546875,0.0,1.0075770403301536
291,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,10,11,34.9827649728604,1403.579207920792,528,325,202,sift,7.042168140411377,False,455.8829650878906,0.0,0.9991984026475303
292,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,10,12,46.72451096252308,1409.675799086758,528,366,219,sift,4.195799350738525,False,225.8083038330078,25.0,0.006550130275917985
293,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,10,13,-159.46929337906215,1505.3764258555134,505,539,263,sift,3.3011863231658936,False,542.584716796875,0.0,0.7185162350954769
294,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,10,14,1.3975738836480456,1331.4716981132076,505,530,265,sift,3.313098669052124,False,484.1320495605469,0.0,0.9974762198592232
295,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,10,15,14.224505368370616,1277.700680272109,505,256,147,sift,3.2194464206695557,False,301.71539306640625,4.635761589403973,1.0015028580733567
296,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,10,16,-0.5944162257648333,1402.5625,505,325,208,sift,6.065742492675781,False,341.1033935546875,0.9259259259259258,0.9982601834254956
297,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,10,17,167.22082905979715,1529.5625,505,366,208,sift,3.5640318393707275,False,524.3552856445312,1.4134275618374559,1.5562999146837897
298,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,10,18,-2.211861161852483,1426.238683127572,539,530,243,sift,3.477701425552368,False,508.213134765625,0.0,0.9982174956881444
299,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,10,19,97.72468509563414,1233.8137931034482,539,256,145,sift,3.382951498031616,False,397.2104797363281,0.9900990099009901,0.6420812303934347
300,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,10,20,-178.03910225005015,1486.9842105263158,539,325,190,sift,7.824077844619751,False,388.07269287109375,0.0,0.04629076708968993
301,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,10,21,-176.03924429373535,1492.6359223300972,539,366,206,sift,4.469050407409668,False,519.776123046875,0.0,1.0338402371824043
302,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,10,22,12.910732348437007,1252.5833333333333,530,256,156,sift,4.287530183792114,False,415.2803039550781,0.0,0.991666911374619
303,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,10,23,-2.3511654267402187,1418.010101010101,530,325,198,sift,8.070419073104858,False,543.685546875,0.9433962264150944,1.0101113583843444
304,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,10,24,-10.3394209663417,1487.663594470046,530,366,217,sift,3.4517674446105957,False,343.5810546875,0.0,0.1061335613906599
305,Block_R1_res0.05.pgm_Block_R2_res0.05.pgm,10,25,-15.398844638441028,1507.0555555555557,256,325,162,sift,6.469699144363403,False,381.55584716796875,1.8072289156626504,0.9990091451625289
306,Block_R1_res0.05.pgm_SouthWing_res0.05.pgm,10,26,-1.3358445232194525,1511.2789115646258,256,366,147,sift,3.379019021987915,False,383.7781066894531,0.0,0.11009648307391853
307,Block_R2_res0.05.pgm_SouthWing_res0.05.pgm,10,27,102.59136493523134,1598.3275862068965,325,366,174,sift,4.448067665100098,False,235.03546142578125,4.545454545454546,0.053165684881676334
