,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
169,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,6,1,-5.921351256016466,1376.08038585209,658,694,311,sift,5.916177034378052,False,514.3800048828125,0.5649717514124294,0.998935187788634
170,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,6,2,-1.8447268354200645,1400.5060240963855,658,708,332,sift,5.131517171859741,False,505.0146179199219,0.0,1.0027440159777885
171,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,6,3,-4.410745099217372,1410.5531135531135,658,657,273,sift,5.492319822311401,False,553.32470703125,0.0,0.998194063144004
172,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,6,4,-8.569653688918216,1517.217741935484,334,658,248,sift,7.444690942764282,False,558.55908203125,0.0,1.0023621712793693
173,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,6,5,-6.459469744150254,1408.5647058823529,658,460,255,sift,8.54028844833374,False,581.6380004882812,0.0,1.0002788151994204
174,SouthWing_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,6,6,-89.38632942390458,1447.3948339483395,470,658,271,sift,6.942812442779541,False,690.7166137695312,0.0,0.9966585943144981
175,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,6,7,35.75183907954773,1321.8079470198675,567,694,302,sift,5.081421136856079,False,431.4625244140625,0.5494505494505495,0.9994885678458656
176,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,6,8,-25.856038847946625,1442.135646687697,567,708,317,sift,5.221526145935059,False,492.63250732421875,0.0,1.2548262961873156
177,2RobotsFull_R2_res0.05.pgm_FuulPath_res0.05.pgm,6,9,37.38859385048665,1302.787456445993,567,657,287,sift,5.659822225570679,False,479.9261169433594,0.0,1.0020847553524193
178,Block_R1_res0.05.pgm_2RobotsFull_R2_res0.05.pgm,6,10,-49.89050574095613,1368.0747663551401,334,567,214,sift,7.129922389984131,False,509.047607421875,0.0,1.0023969973687068
179,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,6,11,34.52987045245673,1369.8152610441766,567,460,249,sift,10.514657974243164,False,425.9230041503906,1.0135135135135136,0.9990113046394099
180,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,6,12,150.03969649172487,1405.00790513834,567,470,253,sift,5.942121267318726,False,552.3056640625,0.0,1.064079298243632
181,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,6,13,-65.58404862523122,1445.7146739130435,694,708,368,sift,4.205369710922241,False,466.9002685546875,0.0,0.5221512252059839
182,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,6,14,1.6094043519748016,1317.0917159763314,694,657,338,sift,4.233586549758911,False,547.8554077148438,0.0,1.001478577861447
183,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,6,15,14.40006747084583,1186.1256281407036,694,334,199,sift,3.784836769104004,False,393.01678466796875,0.49261083743842365,0.9982673930890748
184,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,6,16,-0.6276006903978685,1303.3607142857143,694,460,280,sift,6.579010009765625,False,361.9947814941406,0.32679738562091504,1.0002993085267953
185,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,6,17,112.24420321329522,1403.1904761904761,694,470,273,sift,3.5790953636169434,False,467.2305603027344,0.0,1.0105345072371787
186,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,6,18,-2.6454305264567632,1363.9932432432433,708,657,296,sift,3.5760936737060547,False,518.3722534179688,0.0,1.000432425295276
187,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,6,19,102.51694248320408,1294.1884816753927,708,334,191,sift,4.094043254852295,False,464.25787353515625,0.0,1.0311643022463286
188,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,6,20,-24.3678910795589,1433.0806451612902,708,460,248,sift,8.698326826095581,False,144.37368774414062,33.33333333333333,0.005825790865726604
189,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,6,21,-179.13449746478648,1360.7340823970037,708,470,267,sift,4.304274320602417,False,452.3846740722656,0.0,0.9232617907063302
190,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,6,22,13.14217497874647,1176.4717948717948,657,334,195,sift,3.7142577171325684,False,404.9952697753906,0.0,0.9986064989146888
191,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,6,23,-1.8640564796171477,1376.8803088803088,657,460,259,sift,6.63450813293457,False,528.9020385742188,0.33783783783783783,0.9986666953104342
192,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,6,24,78.40609232596306,1445.0503875968993,657,470,258,sift,3.460433006286621,False,325.2086486816406,0.0,0.11865126572181166
193,Block_R1_res0.05.pgm_Block_R2_res0.05.pgm,6,25,-15.12217168057462,1329.816037735849,334,460,212,sift,7.664814710617065,False,392.60858154296875,0.8163265306122449,0.9996554779495862
194,Block_R1_res0.05.pgm_SouthWing_res0.05.pgm,6,26,80.92250447484636,1459.6858638743456,334,470,191,sift,3.619638681411743,False,461.516357421875,0.0,1.009930589028853
195,Block_R2_res0.05.pgm_SouthWing_res0.05.pgm,6,27,96.48426915928783,1375.556074766355,460,470,214,sift,4.7715301513671875,False,474.19708251953125,0.0,1.0150717786069965
196,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,7,0,-42.83267429945121,1521.0655172413792,567,658,290,sift,9.38648796081543,False,609.7031860351562,0.0,0.8539504223630846
197,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,7,1,-5.853320503066289,1376.08038585209,658,694,311,sift,5.040340185165405,False,502.39727783203125,0.5509641873278237,0.9984648761476335
198,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,7,2,-2.081937622330398,1400.5060240963855,658,708,332,sift,5.056179761886597,False,492.2719421386719,0.0,0.9958805438927576
199,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,7,3,-4.448682148913298,1410.5531135531135,658,657,273,sift,5.453287363052368,False,529.6542358398438,0.0,0.9988651291255335
200,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,7,4,-8.73798607493824,1517.217741935484,334,658,248,sift,7.825673341751099,False,537.8991088867188,0.3144654088050315,1.0038308527923927
201,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,7,5,-6.459469744150254,1408.5647058823529,658,460,255,sift,9.408867120742798,False,581.6380004882812,0.0,1.0002788151994204
